GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001421100,"Census Tract 4211, Alameda County, California",2146,2071,2108,-75,37,-38,-3.49,1.79,-1.77,Alameda County
1400000US06001421200,"Census Tract 4212, Alameda County, California",3690,3553,3557,-137,4,-133,-3.71,0.11,-3.6,Alameda County
1400000US06001421300,"Census Tract 4213, Alameda County, California",4070,3937,4011,-133,74,-59,-3.27,1.88,-1.45,Alameda County
1400000US06001421400,"Census Tract 4214, Alameda County, California",1661,1715,1638,54,-77,-23,3.25,-4.49,-1.38,Alameda County
1400000US06001421500,"Census Tract 4215, Alameda County, California",3820,3920,4064,100,144,244,2.62,3.67,6.39,Alameda County
1400000US06001421600,"Census Tract 4216, Alameda County, California",3728,3854,3854,126,0,126,3.38,0,3.38,Alameda County
1400000US06001421700,"Census Tract 4217, Alameda County, California",3734,3437,3421,-297,-16,-313,-7.95,-0.47,-8.38,Alameda County
1400000US06001421800,"Census Tract 4218, Alameda County, California",2232,2180,2260,-52,80,28,-2.33,3.67,1.25,Alameda County
1400000US06001421900,"Census Tract 4219, Alameda County, California",4312,4173,4141,-139,-32,-171,-3.22,-0.77,-3.97,Alameda County
1400000US06001422000,"Census Tract 4220, Alameda County, California",2157,2205,2453,48,248,296,2.23,11.25,13.72,Alameda County
1400000US06001422100,"Census Tract 4221, Alameda County, California",3280,3172,3200,-108,28,-80,-3.29,0.88,-2.44,Alameda County
1400000US06001422200,"Census Tract 4222, Alameda County, California",3202,3039,3280,-163,241,78,-5.09,7.93,2.44,Alameda County
1400000US06001422300,"Census Tract 4223, Alameda County, California",3608,3333,3567,-275,234,-41,-7.62,7.02,-1.14,Alameda County
1400000US06001422400,"Census Tract 4224, Alameda County, California",4578,4425,4187,-153,-238,-391,-3.34,-5.38,-8.54,Alameda County
1400000US06001422500,"Census Tract 4225, Alameda County, California",4638,4382,4467,-256,85,-171,-5.52,1.94,-3.69,Alameda County
1400000US06001422700,"Census Tract 4227, Alameda County, California",4975,5015,4803,40,-212,-172,0.8,-4.23,-3.46,Alameda County
1400000US06001422800,"Census Tract 4228, Alameda County, California",9229,9577,8980,348,-597,-249,3.77,-6.23,-2.7,Alameda County
1400000US06001422901,"Census Tract 4229.01, Alameda County, California",2627,2085,2024,-542,-61,-603,-20.63,-2.93,-22.95,Alameda County
1400000US06001422902,"Census Tract 4229.02, Alameda County, California",3019,2695,3022,-324,327,3,-10.73,12.13,0.1,Alameda County
1400000US06001423000,"Census Tract 4230, Alameda County, California",4932,4814,4549,-118,-265,-383,-2.39,-5.5,-7.77,Alameda County
1400000US06001423100,"Census Tract 4231, Alameda County, California",4317,4299,4275,-18,-24,-42,-0.42,-0.56,-0.97,Alameda County
1400000US06001423200,"Census Tract 4232, Alameda County, California",2945,2819,3003,-126,184,58,-4.28,6.53,1.97,Alameda County
1400000US06001423300,"Census Tract 4233, Alameda County, California",3521,3255,3476,-266,221,-45,-7.55,6.79,-1.28,Alameda County
1400000US06001423400,"Census Tract 4234, Alameda County, California",5503,5257,5551,-246,294,48,-4.47,5.59,0.87,Alameda County
1400000US06001423500,"Census Tract 4235, Alameda County, California",3484,3397,3540,-87,143,56,-2.5,4.21,1.61,Alameda County
1400000US06001423601,"Census Tract 4236.01, Alameda County, California",2697,2482,2738,-215,256,41,-7.97,10.31,1.52,Alameda County
1400000US06001423602,"Census Tract 4236.02, Alameda County, California",6439,6599,7198,160,599,759,2.48,9.08,11.79,Alameda County
1400000US06001423700,"Census Tract 4237, Alameda County, California",4148,3921,3606,-227,-315,-542,-5.47,-8.03,-13.07,Alameda County
1400000US06001423800,"Census Tract 4238, Alameda County, California",3127,3235,3425,108,190,298,3.45,5.87,9.53,Alameda County
1400000US06001423901,"Census Tract 4239.01, Alameda County, California",2160,2130,2258,-30,128,98,-1.39,6.01,4.54,Alameda County
1400000US06001423902,"Census Tract 4239.02, Alameda County, California",1482,1438,1512,-44,74,30,-2.97,5.15,2.02,Alameda County
1400000US06001424001,"Census Tract 4240.01, Alameda County, California",3976,3593,3631,-383,38,-345,-9.63,1.06,-8.68,Alameda County
1400000US06001424002,"Census Tract 4240.02, Alameda County, California",2626,2580,2663,-46,83,37,-1.75,3.22,1.41,Alameda County
1400000US06001425101,"Census Tract 4251.01, Alameda County, California",1588,1732,1754,144,22,166,9.07,1.27,10.45,Alameda County
